URL,age,default,balance,housing,loan,day,duration,campaign,pdays,previous,label
1,30,0,1787,0,0,19,79,1,-1,0,1
2,33,0,4789,1,1,11,220,1,339,4,1
3,35,0,1350,1,0,16,185,1,330,1,1
4,30,0,1476,1,1,3,199,4,-1,0,1
5,59,0,0,1,0,5,226,1,-1,0,1
6,35,0,747,0,0,23,141,2,176,3,1
7,36,0,307,1,0,14,341,1,330,2,1
8,39,0,147,1,0,6,151,2,-1,0,1
9,41,0,221,1,0,14,57,2,-1,0,1
10,43,0,-88,1,1,17,313,1,147,2,1
11,39,0,9374,1,0,20,273,1,-1,0,1
12,43,0,264,1,0,17,113,2,-1,0,1
13,36,0,1109,0,0,13,328,2,-1,0,1
14,20,0,502,0,0,30,261,1,-1,0,0
15,31,0,360,1,1,29,89,1,241,1,1
16,40,0,194,0,1,29,189,2,-1,0,1
17,56,0,4073,0,0,27,239,5,-1,0,1
18,37,0,2317,1,0,20,114,1,152,2,1
19,25,0,-221,1,0,23,250,1,-1,0,1
20,31,0,132,0,0,7,148,1,152,1,1
21,38,0,0,1,0,18,96,2,-1,0,1
22,42,0,16,0,0,19,140,3,-1,0,1
23,44,0,106,0,0,12,109,2,-1,0,1
24,44,0,93,0,0,7,125,2,-1,0,1
25,26,0,543,0,0,30,169,3,-1,0,1
26,41,0,5883,0,0,20,182,2,-1,0,1
27,55,0,627,1,0,5,247,1,-1,0,1
28,67,0,696,0,0,17,119,1,105,2,1
29,56,0,784,0,1,30,149,2,-1,0,1
30,53,0,105,0,1,21,74,2,-1,0,1
31,68,0,4189,0,0,14,897,2,-1,0,0
32,31,0,171,0,0,27,81,3,-1,0,1
33,59,0,42,0,0,21,40,1,-1,0,1
34,32,0,2536,1,0,26,958,6,-1,0,0
35,49,0,1235,0,0,13,354,3,-1,0,0
36,42,0,1811,1,0,14,150,1,-1,0,1
37,78,0,229,0,0,22,97,1,-1,0,0
38,32,0,2089,1,0,14,132,1,-1,0,0
39,33,0,3935,1,0,6,765,1,342,2,0
40,23,0,363,1,0,30,16,18,-1,0,1
41,38,0,11971,1,0,17,609,2,101,3,1
42,36,0,553,0,0,11,106,2,-1,0,1
43,52,0,1117,1,0,13,365,1,-1,0,1
44,32,0,396,1,0,13,205,3,-1,0,1
45,32,0,2204,1,0,21,11,4,-1,0,1
46,34,0,872,1,0,7,105,2,-1,0,1
47,55,0,145,0,0,2,59,3,5,2,1
48,26,0,0,1,0,21,425,1,-1,0,1
49,32,1,-849,1,1,4,204,1,-1,0,1
50,61,0,4629,1,0,27,181,1,92,1,0
51,45,0,844,0,0,5,1018,3,-1,0,0
52,37,0,228,1,0,20,1740,2,-1,0,1
53,38,0,50,0,0,29,98,2,-1,0,1
54,34,0,1539,1,0,15,441,1,56,1,0
55,53,0,2231,1,0,14,272,3,-1,0,1
56,48,0,3064,1,0,15,159,2,-1,0,1
57,57,0,82,0,1,4,140,1,-1,0,1
58,33,0,2155,0,0,17,295,1,-1,0,1
59,36,0,101,1,1,26,314,1,-1,0,1
60,54,0,784,1,1,15,579,1,-1,0,1
61,41,0,-516,0,1,8,554,3,-1,0,1
62,63,0,415,1,0,7,323,1,-1,0,1
63,48,0,5887,0,0,13,227,2,-1,0,1
64,48,0,1355,0,0,4,134,2,-1,0,1
65,56,0,16873,0,0,7,223,1,-1,0,1
66,51,0,203,1,0,8,134,1,170,5,1
67,31,0,338,1,0,28,155,1,-1,0,1
68,29,0,444,1,0,21,130,4,-1,0,1
69,41,0,0,0,1,7,630,3,-1,0,1
70,32,0,360,0,0,19,164,2,-1,0,1
71,37,0,0,0,0,16,268,2,182,3,0
72,42,1,2,1,0,5,380,1,-1,0,1
73,31,0,6248,1,0,9,154,2,-1,0,1
74,41,0,412,1,0,3,154,5,-1,0,1
75,56,0,344,1,0,15,221,1,-1,0,1
76,54,0,3222,0,0,14,67,2,-1,0,1
77,41,0,174,1,0,14,367,2,297,1,1
78,40,0,591,0,1,14,87,6,-1,0,1
79,50,0,388,0,0,5,701,1,-1,0,1
80,40,0,219,1,0,17,204,2,196,1,1
81,27,0,451,1,0,16,652,1,-1,0,0
82,60,0,5,0,0,26,63,2,-1,0,1
83,28,0,177,1,1,6,150,1,-1,0,1
84,52,0,657,0,0,7,398,2,460,2,0
85,37,0,1315,0,0,30,224,1,-1,0,0
86,51,0,1466,1,0,7,406,2,-1,0,1
87,41,0,879,0,1,7,60,4,-1,0,1
88,35,0,293,1,0,30,521,2,-1,0,1
89,38,0,424,1,0,17,279,1,-1,0,1
90,34,0,1831,1,0,20,203,2,-1,0,1
91,39,0,111,0,0,18,201,2,-1,0,1
92,34,0,455,1,0,20,372,3,-1,0,1
93,27,0,-195,1,0,18,391,1,-1,0,0
94,32,0,3616,0,0,14,165,2,-1,0,1
95,57,0,14093,0,0,11,231,5,-1,0,1
96,41,0,1567,0,0,1,291,2,-1,0,1
97,41,0,5426,1,0,14,149,2,-1,0,1
98,30,0,261,0,0,19,233,1,137,20,1
99,36,0,2843,0,0,12,473,1,182,1,1
100,31,0,406,0,0,4,736,1,-1,0,0
101,36,0,0,1,0,6,337,1,-1,0,1
102,38,0,493,1,0,11,553,1,367,7,1
103,49,0,5996,0,0,21,345,2,-1,0,1
104,57,0,3777,1,0,13,65,2,-1,0,1
105,34,0,524,0,0,13,9,1,-1,0,1
106,32,0,574,1,0,14,259,2,145,3,1
107,37,0,427,1,1,9,371,3,-1,0,1
108,33,0,483,1,0,3,280,2,-1,0,1
109,56,0,3391,0,0,21,243,1,-1,0,0
110,27,0,0,1,0,23,435,3,-1,0,1
111,21,0,2488,0,0,30,258,6,169,3,0
112,58,0,1517,1,0,29,7,5,-1,0,1
