URL,age,balance,day,duration,campaign,pdays,previous,label
1,58,2143,5,261,1,-1,0,0
2,44,29,5,151,1,-1,0,0
3,33,2,5,76,1,-1,0,0
4,47,1506,5,92,1,-1,0,0
5,33,1,5,198,1,-1,0,0
6,35,231,5,139,1,-1,0,0
7,28,447,5,217,1,-1,0,0
8,42,2,5,380,1,-1,0,0
9,58,121,5,50,1,-1,0,0
10,43,593,5,55,1,-1,0,0
11,41,270,5,222,1,-1,0,0
12,29,390,5,137,1,-1,0,0
13,53,6,5,517,1,-1,0,0
14,58,71,5,71,1,-1,0,0
15,57,162,5,174,1,-1,0,0
16,51,229,5,353,1,-1,0,0
17,45,13,5,98,1,-1,0,0
18,57,52,5,38,1,-1,0,0
19,60,60,5,219,1,-1,0,0
20,33,0,5,54,1,-1,0,0
21,28,723,5,262,1,-1,0,0
22,56,779,5,164,1,-1,0,0
23,32,23,5,160,1,-1,0,0
24,25,50,5,342,1,-1,0,0
25,40,0,5,181,1,-1,0,0
26,44,-372,5,172,1,-1,0,0
27,39,255,5,296,1,-1,0,0
28,52,113,5,127,1,-1,0,0
29,46,-246,5,255,2,-1,0,0
30,36,265,5,348,1,-1,0,0
31,57,839,5,225,1,-1,0,0
32,49,378,5,230,1,-1,0,0
33,60,39,5,208,1,-1,0,0
34,59,0,5,226,1,-1,0,0
35,51,10635,5,336,1,-1,0,0
36,57,63,5,242,1,-1,0,0
37,25,-7,5,365,1,-1,0,0
38,53,-3,5,1666,1,-1,0,0
39,36,506,5,577,1,-1,0,0
40,37,0,5,137,1,-1,0,0
41,44,2586,5,160,1,-1,0,0
42,50,49,5,180,2,-1,0,0
43,60,104,5,22,1,-1,0,0
44,54,529,5,1492,1,-1,0,0
45,58,96,5,616,1,-1,0,0
46,36,-171,5,242,1,-1,0,0
47,58,-364,5,355,1,-1,0,0
48,44,0,5,225,2,-1,0,0
49,55,0,5,160,1,-1,0,0
50,29,0,5,363,1,-1,0,0
51,54,1291,5,266,1,-1,0,0
52,48,-244,5,253,1,-1,0,0
53,32,0,5,179,1,-1,0,0
54,42,-76,5,787,1,-1,0,0
55,24,-103,5,145,1,-1,0,0
56,38,243,5,174,1,-1,0,0
57,38,424,5,104,1,-1,0,0
58,47,306,5,13,1,-1,0,0
59,40,24,5,185,1,-1,0,0
